sample,amusing,angry,annoying,anxious/tense,awe-inspiring/amazing,beautiful,bittersweet,calm/relaxing/serene,compassionate/sympathetic,dreamy,eerie/mysterious,energizing/pump-up,entrancing,erotic/desirous,euphoric/ecstatic,exciting,goose bumps,indignant/defiant,joyful/cheerful,nauseating/revolting,painful,proud/strong,romantic/loving,sad/depressing,scary/fearful,tender/longing,transcendent/mystical,triumphant/heroic
0mnb8Hi4Roo_30.mp3,0.055556,0,0.055556,0,0.11111,0.055556,0,0.055556,0.055556,0.055556,0,0.44444,0.11111,0,0.16667,0.22222,0,0.055556,0.16667,0,0,0.16667,0.055556,0,0,0,0,0
0sgQOBJrPnI_8.mp3,0,0,0,0,0.074074,0.37037,0.11111,0.40741,0.2963,0.18519,0.037037,0,0.074074,0.037037,0,0,0,0,0,0,0,0,0.40741,0.074074,0,0.25926,0.037037,0
0sjkQX09tXA_46.mp3,0,0,0,0.22222,0.055556,0.055556,0,0,0.055556,0.055556,0.055556,0.11111,0.055556,0.055556,0,0.055556,0,0.11111,0.055556,0,0,0.38889,0.055556,0.11111,0.11111,0.055556,0.055556,0.38889
0tuK0sk_D1M_2.mp3,0.055556,0,0,0,0.11111,0.11111,0,0.16667,0.11111,0.11111,0.11111,0,0.11111,0.055556,0.055556,0.055556,0.11111,0.11111,0,0,0,0.27778,0,0.16667,0.055556,0,0.22222,0.16667
0tuK0sk_D1M_2469.mp3,0,0.055556,0.055556,0.11111,0.055556,0.055556,0.055556,0,0,0,0.11111,0.055556,0.055556,0,0,0.16667,0.055556,0.33333,0,0,0.11111,0.27778,0,0,0.27778,0,0.055556,0.44444
0vC1KTCgaME_25.mp3,0,0,0,0.27778,0.11111,0.055556,0.055556,0.055556,0.11111,0,0.16667,0.16667,0.11111,0.055556,0.11111,0.22222,0.055556,0.055556,0,0.055556,0,0.16667,0,0,0.11111,0,0.055556,0.16667
0yW7w8F2TVA_1.mp3,0,0,0,0,0.055556,0.33333,0.16667,0.33333,0.33333,0.16667,0,0.055556,0,0.055556,0,0.055556,0,0,0.22222,0,0,0.055556,0.5,0,0,0.44444,0,0
105.m4a.mp3,0.16667,0,0.055556,0.27778,0,0,0,0.11111,0,0.055556,0.38889,0.055556,0.055556,0,0.11111,0,0,0,0.055556,0,0,0.11111,0.055556,0,0.11111,0,0,0.11111
106.m4a.mp3,0,0,0,0,0.22222,0.22222,0.11111,0.055556,0.11111,0.16667,0.055556,0,0.055556,0,0,0,0,0.055556,0,0,0,0.33333,0,0.38889,0,0.055556,0.11111,0.33333
110.m4a.mp3,0.11111,0,0,0.38889,0.055556,0.11111,0,0.055556,0.055556,0.055556,0.33333,0,0.055556,0,0.055556,0.11111,0,0,0,0.055556,0,0,0,0,0.11111,0,0,0.11111
113.m4a.mp3,0,0,0,0.055556,0.11111,0.33333,0.16667,0.33333,0.38889,0.16667,0,0,0,0,0,0,0,0,0,0,0,0.11111,0.16667,0.16667,0,0.16667,0.055556,0.16667
119.m4a.mp3,0.055556,0,0,0,0.11111,0.44444,0,0.44444,0.16667,0.27778,0.055556,0,0.11111,0,0.055556,0.055556,0,0,0.055556,0,0,0,0,0,0,0.055556,0.11111,0
136.m4a.mp3,0.11111,0.055556,0.11111,0.055556,0,0,0,0,0,0,0,0.61111,0,0,0.11111,0.27778,0,0,0.27778,0,0,0,0,0,0,0,0,0
137.m4a.mp3,0.11111,0,0.22222,0.055556,0.055556,0.055556,0,0.16667,0,0,0.055556,0.16667,0.11111,0.055556,0,0,0,0,0.27778,0,0,0.11111,0.16667,0,0,0,0.11111,0
144.m4a.mp3,0.11111,0.11111,0.5,0.38889,0.055556,0,0.055556,0.055556,0,0,0.11111,0,0.055556,0.11111,0.055556,0.055556,0,0.11111,0,0.22222,0.16667,0,0.055556,0.055556,0,0,0.055556,0.055556
146.m4a.mp3,0.055556,0,0.22222,0,0.055556,0,0,0.055556,0,0.22222,0.27778,0.16667,0.16667,0,0.055556,0.11111,0.055556,0,0.055556,0.055556,0,0,0,0,0,0,0.22222,0
1612_Y7N9x4_60.mp3,0.074074,0,0.11111,0.11111,0.037037,0,0,0,0,0,0.037037,0.74074,0.11111,0,0.11111,0.14815,0.037037,0.037037,0.037037,0.037037,0,0.18519,0,0,0,0,0.037037,0.037037
174.m4a.mp3,0.055556,0,0.22222,0.055556,0.055556,0.11111,0.055556,0.22222,0.055556,0.16667,0,0.11111,0,0.055556,0.055556,0.055556,0,0.055556,0.44444,0.055556,0,0,0.27778,0.055556,0,0.055556,0,0.055556
179.m4a.mp3,0.22222,0,0,0.055556,0.055556,0.22222,0.11111,0.27778,0.16667,0,0,0.22222,0.055556,0.16667,0.055556,0.055556,0,0.055556,0,0,0,0.11111,0.33333,0,0,0.33333,0.11111,0.11111
19nm5_nAwQg_1.mp3,0.055556,0,0.055556,0,0.16667,0.11111,0,0.38889,0.16667,0.22222,0.11111,0,0.055556,0,0.11111,0,0.055556,0,0,0,0,0,0,0,0.055556,0.055556,0.33333,0
1BdPDaFXcEo_1.mp3,0.055556,0,0,0,0.16667,0.44444,0.27778,0.27778,0.38889,0.22222,0.16667,0.055556,0.16667,0,0.055556,0,0.055556,0,0,0,0.055556,0,0.72222,0.11111,0,0.44444,0.33333,0
1CGMk_roNaE_138.mp3,0.055556,0,0.055556,0,0,0,0,0.11111,0,0.11111,0,0.61111,0.11111,0,0.11111,0.22222,0,0.11111,0.16667,0,0,0.055556,0,0,0,0,0.16667,0
1EdUjlawLJM_20.mp3,0,0,0.055556,0.22222,0,0,0.055556,0,0,0.055556,0.27778,0.11111,0.055556,0,0.11111,0.055556,0.055556,0,0,0,0.055556,0.055556,0,0,0.33333,0,0.16667,0.055556
1FH-q0I1fJY_20.mp3,0.055556,0,0.16667,0.11111,0.11111,0,0,0.22222,0.055556,0.33333,0.61111,0,0.11111,0.055556,0.055556,0,0,0,0,0,0.11111,0,0,0.055556,0.27778,0.055556,0.22222,0
1FmqrHSAtoc_1290.mp3,0.055556,0,0,0,0.16667,0.16667,0.11111,0.44444,0.055556,0.44444,0.11111,0,0.055556,0.055556,0.055556,0,0.055556,0.055556,0,0,0,0,0.055556,0.055556,0,0.055556,0.33333,0
1FmqrHSAtoc_5.mp3,0,0,0,0.055556,0.11111,0.055556,0.055556,0.5,0.11111,0.16667,0.27778,0,0.055556,0,0,0,0,0,0,0,0,0,0.055556,0.16667,0.16667,0,0.11111,0
1FmqrHSAtoc_565.mp3,0,0,0,0,0.055556,0.055556,0.055556,0.44444,0.22222,0.61111,0.16667,0,0.055556,0,0.055556,0,0.055556,0,0,0,0,0.055556,0.16667,0.11111,0,0.22222,0.33333,0.055556
1Jxi2wPP5mg_6.mp3,0,0,0,0.055556,0,0,0,0.33333,0.11111,0.33333,0.11111,0,0.055556,0.055556,0.055556,0,0.055556,0,0,0,0,0,0.16667,0.22222,0,0.16667,0.22222,0
1Lmq6RDn5O8_135.mp3,0.055556,0,0.055556,0,0.055556,0,0,0.055556,0.055556,0,0,0.66667,0.055556,0,0.16667,0.27778,0,0.055556,0.38889,0,0,0,0,0,0,0,0,0
1QX7nZjr7dI_156.mp3,0.055556,0.33333,0.055556,0.22222,0.055556,0.055556,0,0,0.055556,0.055556,0,0.27778,0,0,0.055556,0.055556,0,0.33333,0,0,0.055556,0.38889,0,0,0.055556,0,0,0.16667
1Vko01D77Fg_53.mp3,0,0,0.055556,0.055556,0.11111,0.27778,0,0.22222,0.27778,0.27778,0.11111,0,0.11111,0,0.11111,0.055556,0,0,0.055556,0,0,0,0.055556,0,0.055556,0.055556,0.16667,0
1ZYbU82GVz4_615.mp3,0,0,0,0.055556,0.11111,0.11111,0,0.55556,0,0.27778,0,0,0.055556,0,0,0,0,0,0,0,0,0,0.055556,0.27778,0,0,0.16667,0
1nydxbGhgv8_61.mp3,0.11111,0.055556,0,0,0,0.055556,0,0,0,0.11111,0.055556,0.61111,0.11111,0.22222,0.22222,0.16667,0,0.055556,0,0,0,0.055556,0.055556,0,0,0,0.11111,0.055556
1qKS51qh4OY_17.mp3,0,0.11111,0,0.44444,0.055556,0,0,0,0,0.055556,0.38889,0.055556,0,0.055556,0,0.055556,0.11111,0.11111,0,0,0,0,0,0,0.33333,0.055556,0.055556,0.11111
1qKS51qh4OY_1765.mp3,0,0.22222,0.22222,0.22222,0,0,0,0,0,0,0.055556,0.38889,0,0,0.11111,0.11111,0.055556,0.16667,0.055556,0.055556,0,0.27778,0,0,0.055556,0,0,0.22222
1qKS51qh4OY_1845.mp3,0,0.33333,0,0.27778,0,0,0,0,0.055556,0,0.055556,0.27778,0,0,0.055556,0.16667,0,0.27778,0.055556,0,0,0.22222,0,0,0.055556,0,0,0.22222
1qKS51qh4OY_2395.mp3,0,0,0,0.27778,0.11111,0,0,0,0.055556,0,0.33333,0,0,0.055556,0.055556,0,0.11111,0.055556,0,0,0.055556,0.055556,0,0.11111,0.27778,0,0.055556,0.22222
1qKS51qh4OY_274.mp3,0,0.27778,0,0.22222,0.055556,0,0,0,0,0,0.055556,0.5,0,0,0.055556,0.44444,0,0.33333,0.055556,0,0,0.33333,0,0,0.055556,0,0,0.16667
1qKS51qh4OY_310.mp3,0,0.11111,0.055556,0.33333,0,0,0,0,0,0,0.27778,0,0,0,0.055556,0,0.055556,0.16667,0,0,0.11111,0.16667,0,0,0.55556,0,0,0.16667
1qKS51qh4OY_403.mp3,0,0.16667,0.16667,0.11111,0.055556,0,0,0,0,0,0,0.55556,0.11111,0,0,0.22222,0,0.055556,0.055556,0,0,0.055556,0,0,0.11111,0,0.055556,0.11111
1qKS51qh4OY_530.mp3,0.11111,0.16667,0,0.27778,0.11111,0.055556,0,0,0,0,0,0.27778,0,0,0.055556,0.27778,0,0.16667,0,0,0,0.38889,0,0,0,0,0,0.55556
1qKS51qh4OY_65.mp3,0,0.55556,0.11111,0.44444,0,0,0,0,0,0,0.055556,0.16667,0,0,0,0.11111,0,0.44444,0.055556,0,0.16667,0.5,0,0,0.16667,0,0,0.22222
1qKS51qh4OY_82.mp3,0,0.22222,0.055556,0.11111,0.055556,0,0,0,0,0,0.055556,0.11111,0.11111,0,0.055556,0.22222,0.055556,0.16667,0.055556,0,0,0.44444,0,0,0.055556,0,0,0.38889
1qKS51qh4OY_93.mp3,0.11111,0.22222,0.055556,0.16667,0.11111,0,0,0,0,0,0,0.27778,0.055556,0,0.055556,0.27778,0,0,0.11111,0.055556,0.055556,0.33333,0.055556,0.055556,0,0,0,0.22222
1qN72LEQnaU_62.mp3,0.16667,0,0.16667,0.055556,0,0,0,0.055556,0,0,0,0.61111,0.055556,0,0.27778,0.22222,0,0,0.38889,0.055556,0,0,0,0,0,0,0,0
1tSbJvAu5Wc_1.mp3,0,0.055556,0,0.16667,0,0.055556,0.055556,0.27778,0.11111,0.11111,0.27778,0,0.11111,0.055556,0,0,0,0.055556,0,0,0.055556,0,0.055556,0.11111,0.11111,0,0.11111,0
1uvwGmRf5M8_104.mp3,0.055556,0.33333,0.11111,0.055556,0,0,0,0,0.055556,0,0,0.27778,0,0.055556,0.11111,0.16667,0,0.27778,0.16667,0.11111,0.11111,0.16667,0.055556,0,0.055556,0,0,0
1vwxNGvHuas_44.mp3,0,0.055556,0,0,0.11111,0.11111,0.11111,0.16667,0.11111,0.11111,0,0.27778,0.22222,0.055556,0.11111,0.055556,0,0,0.11111,0,0,0,0.11111,0,0,0.055556,0,0
2-Hour Anime Mix - Best Of Anime Soundtracks _ Emotional Ride - Epic Music-S7OCzDNeENg&1.mp3,0.11111,0,0.055556,0.055556,0.27778,0.11111,0,0.11111,0,0.055556,0.055556,0.16667,0.055556,0.055556,0.22222,0.22222,0.055556,0.055556,0.11111,0.055556,0.055556,0.27778,0,0,0,0.055556,0.11111,0.38889
2-Hour Anime Mix - Best Of Anime Soundtracks _ Emotional Ride - Epic Music-S7OCzDNeENg&2.mp3,0,0.055556,0.055556,0.22222,0.22222,0,0.055556,0,0.11111,0,0.16667,0.27778,0.11111,0,0.11111,0.22222,0.11111,0.11111,0.055556,0,0,0.33333,0,0,0.11111,0,0.055556,0.33333
2-Hour Anime Mix - Best Of Anime Soundtracks _ Emotional Ride - Epic Music-S7OCzDNeENg&3.mp3,0,0,0.055556,0.22222,0.11111,0.11111,0,0,0.055556,0,0.16667,0.44444,0.11111,0,0.055556,0.27778,0,0.055556,0,0.055556,0,0.22222,0,0.055556,0.055556,0,0.11111,0.33333
2-Hour Anime Mix - Best Of Anime Soundtracks _ Emotional Ride - Epic Music-S7OCzDNeENg&4.mp3,0,0,0,0.22222,0.11111,0.11111,0,0.16667,0.055556,0.055556,0.11111,0.16667,0.11111,0,0.055556,0.055556,0.055556,0.055556,0.055556,0,0,0.27778,0.055556,0,0,0,0.055556,0.11111
2-Hour Anime Mix - Best Of Anime Soundtracks _ Emotional Ride - Epic Music-S7OCzDNeENg&5.mp3,0,0,0,0.33333,0.11111,0,0.055556,0.055556,0.22222,0.055556,0.22222,0.22222,0.22222,0,0.11111,0.055556,0.27778,0,0,0,0,0.055556,0.055556,0,0.055556,0,0.055556,0.22222
2-Hour Anime Mix - Best Of Anime Soundtracks _ Emotional Ride - Epic Music-S7OCzDNeENg&6.mp3,0,0,0,0.055556,0.33333,0.22222,0.11111,0.11111,0.16667,0,0,0.11111,0.22222,0,0.11111,0.055556,0.055556,0.11111,0.11111,0,0,0.22222,0.055556,0,0,0.055556,0.11111,0.27778
2-Hour Anime Mix - Best Of Anime Soundtracks _ Emotional Ride - Epic Music-S7OCzDNeENg&7.mp3,0.055556,0.11111,0.16667,0.33333,0.055556,0,0,0,0,0.055556,0.055556,0.44444,0.11111,0,0.055556,0.38889,0,0.055556,0,0,0,0.22222,0,0,0.11111,0,0.055556,0.055556
2-Hour Anime Mix - Best Of Anime Soundtracks _ Emotional Ride - Epic Music-S7OCzDNeENg&8.mp3,0.055556,0.055556,0.055556,0,0.38889,0.11111,0,0.055556,0.16667,0,0,0.055556,0.16667,0,0.33333,0.11111,0.055556,0.16667,0.055556,0,0,0.38889,0,0,0,0,0.055556,0.44444
2-Hour Anime Mix - Best Of Anime Soundtracks _ Emotional Ride - Epic Music-S7OCzDNeENg&9.mp3,0,0.055556,0,0.11111,0.11111,0,0.11111,0,0,0,0.055556,0.61111,0.22222,0.055556,0.16667,0.33333,0.055556,0.16667,0,0,0,0.11111,0,0,0,0,0,0.27778
207.m4a.mp3,0.055556,0,0.11111,0.055556,0.055556,0.055556,0,0,0,0.11111,0.055556,0.44444,0.33333,0.11111,0,0.055556,0,0,0.16667,0,0,0,0.055556,0,0,0,0.16667,0
2118.m4a.mp3,0,0,0.11111,0,0.27778,0.16667,0,0.38889,0.055556,0.5,0.16667,0,0.11111,0,0.11111,0.055556,0,0,0,0,0,0,0.055556,0,0,0.11111,0.22222,0
2119.m4a.mp3,0,0,0.16667,0.055556,0,0.055556,0,0.33333,0.055556,0,0.11111,0,0.11111,0,0.11111,0,0,0,0.11111,0,0.055556,0,0.16667,0.11111,0,0.11111,0,0
21O9x8nYoqY_55.mp3,0.055556,0,0,0,0.27778,0.27778,0,0.11111,0.22222,0.055556,0,0,0.11111,0,0.055556,0,0.11111,0,0,0,0,0.11111,0.27778,0.16667,0,0.055556,0.055556,0.055556
2300.m4a.mp3,0.055556,0,0,0,0.055556,0.11111,0.11111,0.61111,0.16667,0.16667,0.055556,0.055556,0.055556,0.44444,0.055556,0.055556,0,0,0,0,0,0,0.44444,0.11111,0,0.27778,0.055556,0.055556
2316.m4a.mp3,0,0,0,0.11111,0,0.27778,0.22222,0.22222,0.22222,0.055556,0,0.055556,0.055556,0.055556,0,0.16667,0.055556,0,0.055556,0,0,0,0.33333,0.055556,0.11111,0,0,0
2337.m4a.mp3,0,0,0,0,0,0.2963,0.22222,0.40741,0.14815,0.11111,0.037037,0,0.037037,0.14815,0.037037,0,0.037037,0,0.074074,0,0,0,0.2963,0.074074,0,0.40741,0,0
2341.m4a.mp3,0,0,0,0,0.055556,0.44444,0.16667,0.66667,0.33333,0.22222,0.055556,0,0.16667,0,0.055556,0,0,0,0,0,0,0.055556,0.16667,0.11111,0,0.27778,0,0
2399.m4a.mp3,0,0,0.027778,0,0.083333,0.11111,0.083333,0.30556,0.11111,0.19444,0.027778,0.083333,0.13889,0.055556,0.11111,0.027778,0.083333,0,0.11111,0,0.055556,0.083333,0.11111,0.055556,0,0.16667,0.11111,0.16667
2402.m4a.mp3,0,0,0,0,0.22222,0.33333,0,0.38889,0.22222,0.27778,0,0,0.055556,0,0.11111,0.055556,0,0,0.055556,0,0,0,0.22222,0,0,0,0.11111,0.055556
2422.m4a.mp3,0,0,0,0.38889,0.055556,0.11111,0.055556,0,0,0,0.44444,0.055556,0.11111,0,0,0.055556,0.11111,0.055556,0,0,0,0.11111,0,0,0.55556,0,0,0.22222
2423.m4a.mp3,0,0,0,0,0.38889,0.72222,0.055556,0.38889,0.11111,0,0,0,0.11111,0,0.11111,0.11111,0,0,0.16667,0,0,0.055556,0.27778,0,0,0,0,0.16667
2424.m4a.mp3,0.16667,0,0,0.11111,0.11111,0.16667,0,0.11111,0,0,0.11111,0.11111,0.16667,0,0.22222,0.11111,0,0,0.44444,0,0,0.11111,0.11111,0,0,0,0,0.22222
2427.m4a.mp3,0,0,0,0,0.33333,0.55556,0,0.38889,0,0.055556,0,0,0,0,0.055556,0,0,0,0.11111,0,0,0.055556,0.16667,0,0,0.16667,0.055556,0.11111
2428.m4a.mp3,0,0,0,0,0.055556,0.22222,0,0.11111,0.055556,0.055556,0,0.22222,0.11111,0.055556,0.16667,0.22222,0,0.055556,0.44444,0,0,0.16667,0.055556,0,0,0,0,0.11111
2429.m4a.mp3,0,0,0,0.055556,0.055556,0.44444,0.11111,0.16667,0.33333,0,0.055556,0,0.055556,0.055556,0.055556,0,0,0,0,0,0,0.055556,0,0.44444,0.055556,0.16667,0,0.055556
2430.m4a.mp3,0.055556,0,0.055556,0,0.055556,0.16667,0.055556,0.11111,0.055556,0,0.055556,0.33333,0.11111,0.16667,0.11111,0.27778,0,0.055556,0.5,0,0,0.055556,0.055556,0,0,0.055556,0,0.22222
2432.m4a.mp3,0,0,0.11111,0.16667,0.22222,0.055556,0,0,0,0,0,0.11111,0,0,0.11111,0.11111,0,0,0,0.055556,0,0.16667,0,0,0.055556,0,0,0.61111
2433.m4a.mp3,0,0,0,0.11111,0.11111,0.27778,0.11111,0.22222,0.33333,0.11111,0.16667,0,0,0,0,0,0,0,0,0,0,0,0,0.44444,0.055556,0,0,0.11111
2434.m4a.mp3,0,0,0,0,0.11111,0.22222,0,0.27778,0.27778,0.27778,0,0,0,0,0,0.055556,0.055556,0.055556,0,0,0,0.055556,0.16667,0.055556,0,0.11111,0,0.22222
2435.m4a.mp3,0.22222,0,0.22222,0.38889,0,0,0,0,0,0,0.22222,0.33333,0.16667,0,0,0.11111,0,0,0.11111,0.055556,0,0,0,0,0,0,0,0.11111
2437.m4a.mp3,0.055556,0,0,0.11111,0.16667,0,0,0,0,0,0,0.16667,0,0,0.055556,0.16667,0,0.22222,0.055556,0,0,0.27778,0,0,0,0,0.055556,0.72222
2438.m4a.mp3,0.22222,0,0,0,0.11111,0.27778,0.055556,0.11111,0,0.055556,0,0,0,0,0.055556,0.11111,0,0,0.66667,0,0,0,0.11111,0,0,0,0.055556,0.055556
2443.m4a.mp3,0,0,0,0,0.22222,0.38889,0.055556,0.44444,0.38889,0.16667,0,0,0,0,0,0,0,0,0.16667,0,0,0.11111,0.055556,0,0,0.16667,0,0.22222
2449.m4a.mp3,0,0,0,0.055556,0.16667,0.38889,0.22222,0.27778,0.27778,0.11111,0.055556,0,0.11111,0,0,0.055556,0.055556,0,0.055556,0,0,0.11111,0.16667,0.16667,0,0.16667,0.055556,0.055556
2452.m4a.mp3,0.11111,0,0,0,0.16667,0.38889,0,0.055556,0,0.055556,0,0.055556,0,0.055556,0.055556,0.11111,0,0,0.44444,0,0,0.16667,0,0,0,0,0,0.33333
2453.m4a.mp3,0.055556,0,0,0,0.11111,0.44444,0.055556,0.38889,0.16667,0.16667,0,0.055556,0.055556,0,0,0.055556,0,0,0.16667,0,0,0,0.33333,0,0,0.055556,0,0.055556
2462.m4a.mp3,0,0,0,0.11111,0.055556,0.38889,0.22222,0.33333,0.33333,0,0.11111,0,0.16667,0,0,0,0,0,0,0,0,0.055556,0.16667,0.44444,0.055556,0.11111,0,0.055556
2463.m4a.mp3,0,0,0,0.055556,0.055556,0.33333,0.16667,0.33333,0.27778,0.11111,0.055556,0,0,0.055556,0.055556,0,0,0,0.055556,0.055556,0,0.055556,0.11111,0,0,0.11111,0.055556,0.055556
2464.m4a.mp3,0.055556,0,0.055556,0,0.22222,0.55556,0.16667,0.66667,0.33333,0.22222,0.055556,0,0,0,0.11111,0.055556,0.11111,0,0,0,0,0.055556,0.27778,0,0,0.16667,0.055556,0
2466.m4a.mp3,0,0,0,0.055556,0.33333,0.38889,0.27778,0.33333,0.38889,0.16667,0.055556,0,0.16667,0.11111,0.11111,0.055556,0.11111,0,0.16667,0,0,0.055556,0.11111,0.22222,0,0.22222,0,0.11111
2470.m4a.mp3,0.11111,0,0,0,0.055556,0.55556,0.16667,0.44444,0.38889,0.22222,0.055556,0,0.27778,0.055556,0.055556,0.16667,0,0,0.055556,0,0,0.16667,0.16667,0.055556,0,0.22222,0,0
2473.m4a.mp3,0.11111,0,0,0,0.16667,0.33333,0,0.38889,0.27778,0.11111,0,0,0.055556,0,0,0,0,0,0.055556,0,0,0.11111,0.16667,0,0,0.16667,0,0.055556
2475.m4a.mp3,0.055556,0,0,0.055556,0.27778,0.5,0.055556,0.11111,0.27778,0.16667,0.11111,0,0.22222,0.055556,0,0,0,0,0.055556,0,0,0,0.33333,0.11111,0,0.22222,0.055556,0.11111
2478.m4a.mp3,0,0,0,0,0.055556,0.22222,0.27778,0.11111,0.33333,0.055556,0,0,0.055556,0,0,0,0,0,0,0,0,0,0.055556,0.55556,0,0.16667,0.055556,0.055556
2480.m4a.mp3,0,0,0,0.055556,0.11111,0.38889,0.055556,0.44444,0.38889,0.22222,0,0,0.11111,0,0.055556,0.055556,0,0,0,0,0,0.055556,0.22222,0.16667,0,0.22222,0.055556,0.11111
2481.m4a.mp3,0,0,0,0.11111,0.16667,0.38889,0.11111,0.44444,0.11111,0.22222,0.33333,0,0.055556,0,0,0,0,0,0,0,0,0.055556,0.055556,0.055556,0,0.11111,0,0.16667
2489.m4a.mp3,0.055556,0.16667,0,0.33333,0.11111,0.055556,0,0.055556,0,0,0.22222,0,0.055556,0.055556,0.055556,0.055556,0,0.055556,0,0,0,0.16667,0,0.055556,0.27778,0,0.055556,0.16667
2490.m4a.mp3,0,0,0,0,0.27778,0.5,0.055556,0.44444,0.16667,0.16667,0,0,0.055556,0,0,0,0,0,0.055556,0,0,0.055556,0.33333,0,0,0.16667,0.055556,0.11111
2492.m4a.mp3,0,0,0,0.11111,0.055556,0,0,0.055556,0,0,0,0.33333,0.11111,0,0.16667,0.22222,0,0.33333,0.055556,0,0,0.5,0,0.055556,0.055556,0,0,0.83333
2493.m4a.mp3,0.037037,0,0,0,0.11111,0.2963,0,0.14815,0.2963,0.18519,0,0.037037,0.037037,0,0.037037,0,0,0,0.074074,0,0,0.18519,0,0.037037,0,0,0.037037,0.18519
2505.m4a.mp3,0,0.16667,0,0.33333,0,0,0,0,0,0,0.16667,0.11111,0.055556,0,0,0.055556,0.055556,0.16667,0,0,0.11111,0.22222,0,0.055556,0.27778,0,0,0.38889
2506.m4a.mp3,0,0,0,0.055556,0.055556,0.44444,0.055556,0.055556,0.38889,0.055556,0,0,0.055556,0,0,0,0,0,0.22222,0,0,0,0.16667,0.055556,0,0.27778,0,0.11111
2507.m4a.mp3,0.11111,0,0,0.055556,0.055556,0.16667,0.055556,0.16667,0.055556,0,0.055556,0.055556,0.16667,0,0.11111,0.11111,0,0,0.44444,0,0,0,0,0,0,0.055556,0,0.16667
2513.m4a.mp3,0,0,0,0,0.16667,0.33333,0.11111,0.38889,0.5,0.22222,0.055556,0,0.11111,0,0,0,0,0,0.055556,0,0,0.055556,0.055556,0.11111,0,0.055556,0.055556,0.055556
